timestamp,event,trade_time,direction,confidence,atr_norm,sl,tp,volume
2026-02-02 06:30:03,OPEN_TRADE,2026-02-02 10:30:00+02:00,LONG,0.7679165,0.0008511930884884489,8.746660146931506,12.82843488216621,1.0
2026-02-02 06:35:04,OPEN_TRADE,2026-02-02 10:35:00+02:00,LONG,0.85132307,0.0008534178473650747,8.763837483465926,12.853628309083359,1.0
2026-02-02 06:40:04,OPEN_TRADE,2026-02-02 10:40:00+02:00,LONG,0.80726796,0.0008854223961790367,9.089507255127021,13.331277307519633,1.0
2026-02-02 06:45:04,OPEN_TRADE,2026-02-02 10:45:00+02:00,LONG,0.7802082,0.0008904573190535574,9.149542451293803,13.419328928564246,1.0
2026-02-02 06:50:05,OPEN_TRADE,2026-02-02 10:50:00+02:00,LONG,0.864069,0.0009088623034701952,9.32995778645391,13.683938086799069,1.0
2026-02-02 06:55:00,OPEN_TRADE,2026-02-02 10:55:00+02:00,LONG,0.8129259,0.0008796504252631417,9.032562842502907,13.24775883567093,1.0
2026-02-02 07:00:01,OPEN_TRADE,2026-02-02 11:00:00+02:00,LONG,0.6168836,0.0008794048061852269,9.035976721057855,13.252765857551523,1.0
2026-02-02 07:05:01,OPEN_TRADE,2026-02-02 11:05:00+02:00,LONG,0.6145367,0.0008647475750910552,8.889912057325205,13.038537684076967,1.0
2026-02-02 07:10:02,OPEN_TRADE,2026-02-02 11:10:00+02:00,LONG,0.6072196,0.0009353414395996296,9.629714257254028,14.123580910639241,1.0
2026-02-02 07:15:02,OPEN_TRADE,2026-02-02 11:15:00+02:00,LONG,0.6524467,0.0009366244029179565,9.63379078987308,14.129559825147185,1.0
2026-02-02 07:40:04,OPEN_TRADE,2026-02-02 11:40:00+02:00,SHORT,0.605368,0.000885964969087283,9.124686111375292,13.382872963350428,1.0
2026-02-02 07:45:05,OPEN_TRADE,2026-02-02 11:45:00+02:00,SHORT,0.6444259,0.0008797034522127979,9.05623914432248,13.28248407833964,1.0
2026-02-02 07:50:00,OPEN_TRADE,2026-02-02 11:50:00+02:00,SHORT,0.5751422,0.0008446900195397692,8.696890430130583,12.755439297524857,1.0
2026-02-02 07:55:01,OPEN_TRADE,2026-02-02 11:55:00+02:00,SHORT,0.6457819,0.0008574932908983085,8.835709481144622,12.959040572345447,1.0
2026-02-02 08:00:01,OPEN_TRADE,2026-02-02 12:00:00+02:00,SHORT,0.64845693,0.0008257861604047595,8.511398599945867,12.48338461325394,1.0
2026-02-02 08:05:02,OPEN_TRADE,2026-02-02 12:05:00+02:00,SHORT,0.56191033,0.0008321819500440539,8.583798700133908,12.589571426863067,1.0
2026-02-02 08:10:03,OPEN_TRADE,2026-02-02 12:10:00+02:00,SHORT,0.6840029,0.0008360220389854878,8.62317022166679,12.64731632511129,1.0
2026-02-02 08:15:03,OPEN_TRADE,2026-02-02 12:15:00+02:00,SHORT,0.71959096,0.0008325667613213282,8.589091736495352,12.597334546859848,1.0
2026-02-02 08:20:04,OPEN_TRADE,2026-02-02 12:20:00+02:00,SHORT,0.76049364,0.00084659040201392,8.740432122752264,12.819300446703322,1.0
2026-02-02 08:25:04,OPEN_TRADE,2026-02-02 12:25:00+02:00,SHORT,0.77905464,0.0008239987648541477,8.506880848477737,12.476758577767347,1.0
2026-02-02 08:30:05,OPEN_TRADE,2026-02-02 12:30:00+02:00,SHORT,0.7875218,0.0008163874655987179,8.429220991993402,12.362857454923658,1.0
2026-02-02 08:35:05,OPEN_TRADE,2026-02-02 12:35:00+02:00,SHORT,0.8114925,0.0008353858341329716,8.630705206761384,12.658367636583364,1.0
2026-02-02 08:40:01,OPEN_TRADE,2026-02-02 12:40:00+02:00,SHORT,0.8617076,0.0008163237409882905,8.438971161495225,12.37715770352633,1.0
2026-02-02 08:45:01,OPEN_TRADE,2026-02-02 12:45:00+02:00,SHORT,0.85457975,0.0007907546882661913,8.173457915458627,11.987738276005986,1.0
2026-02-02 08:50:02,OPEN_TRADE,2026-02-02 12:50:00+02:00,SHORT,0.9063003,0.0007725843948652545,7.987522146115381,11.715032480969228,1.0
2026-02-02 08:55:02,OPEN_TRADE,2026-02-02 12:55:00+02:00,SHORT,0.91868037,0.0007692865055229107,7.954153216829964,11.666091384683948,1.0
2026-02-02 09:00:03,OPEN_TRADE,2026-02-02 13:00:00+02:00,SHORT,0.7893084,0.0007438669974111571,7.690208599286154,11.27897261228636,1.0
2026-02-02 09:05:04,OPEN_TRADE,2026-02-02 13:05:00+02:00,SHORT,0.59254724,0.0007578012448329936,7.829147780867591,11.4827500786058,1.0
2026-02-02 09:10:04,OPEN_TRADE,2026-02-02 13:10:00+02:00,SHORT,0.5805084,0.0007758801498668717,8.015637225278399,11.756267930408319,1.0
2026-02-02 09:25:06,OPEN_TRADE,2026-02-02 13:25:00+02:00,SHORT,0.869463,0.0008247069554872977,8.537387020878393,12.521500963954978,1.0
2026-02-02 09:30:01,OPEN_TRADE,2026-02-02 13:30:00+02:00,SHORT,0.6597705,0.0008122173841105465,8.40397672360954,12.32583252796066,1.0
